pubs_name,pubs_location,pubs_type_name,Foster,KF,KF_ULTRA,KF_ULTRA_MAX,KF_PREMIUM,KF_STRONG,KF_STORM,KF_BLUE,Heineken,Corona,Corona_Extra,Budweiser,Budweiser_Magnum,Budweiser_Premium,Carlsberg,Carlsberg_Elephant,Stella_Artois,Hoagearden,Asahi,Tuborg,Tuborg_Premium,Tuborg_Strong,Tuborg_Green,Miller,Miller_Ace,Miller_high_life,Miller_Ultra_Max,Peroni,Bira_White,Bira_Blonde,Bira_Lite,Bira_IPA,Bira_Pale_Ale,Bira_Strong,Sol_Cerveza,Leffe_Blonde,UB,White_Owl_Spark,White_Owl_Diablo,Kings_Goa,Affligem_Blonde,Edelweiss,Desperades,Dos_Equis,Schneider_Weisse,Whitlinger,Amstel,Geist_Witty_wit,Geist_Weiss_Guy,Geist_Uncle_Dunkel,Estrella_Damm_Barcelona,Tsing_Tao,Cass,KronenBourg,Knock Out,Singha,Hywards 5000,Parga
White Horse,Malleshwaram,Bar,210,205,245,255,,210,220,135,280,390,250,245,260,,150,,,,,145,,145,,245,,,,,155,150,,,,,,,180,,,,,,,,,,,,,,,,,,,,,
Gallops,"Jayamahal Palace Hotel, Frazer Town",Lounge,160,150,,,,,,,,375,,,,,,,,,,,,,,,170,160,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajadhani Delux Bar and Restaurant,Majestic,Bar,160,160,220,220,,165,,160,245,,,220,255,,218,218,,,,160,,165,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,165,,165,
Jive Pub,Indiranagar,Lounge,240,,280,,230,240,,240,300,375,,260,280,,260,,,,,,,240,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,240,
Ultra Violet- Evoma,Hotel Evoma,Bar,160,,,,150,160,,160,,275,,175,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chord Road Resto-Bar,Rajajinagar,Lounge,120,,,,120,130,,,180,350,,160,170,,,,,,,,,140,130,,,,,,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,
BG's Poolside Bar & Grill,Courtyard & Fairfield by Marriott,Bar,,,375,,350,,,,375,650,,375,,,,,,650,,,,,,,,,,,375,375,375,375,,,,,,,,,,,,,,,,,,,,,,,,,,
Obsidian Sports and Music Bar -Gokulam Grand Hotel &...,"Gokulam Grand Hotel & Spa, New BEL Road",Lounge,277,,299,,277,,,,299,550,,,,,,,,,,,,,,,,299,,377,550,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chez Nous - Novotel,"Novotel Bengaluru Techpark, Marathahalli",Lounge,275,,375,,325,,,275,400,,550,325,,,325,,,,650,325,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Farm House Bar n Grill,Whitefield,Bar,,,249,,169,,,,299,450,,249,,,249,,,,,175,,,,,,,,,260,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiffin Bar - Holiday Inn & Suites,"Holiday Inn & Suites, Whitefield",Lounge,200,,250,,200,,,,300,,,275,,,275,,,,,,,,,,,250,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samudra Bar & Restaurant,Seshadripuram,Bar,168,168,233,233,109,175,,,263,,,232,268,,233,233,,,,168,,175,,,,,,,204,,,,,,,,139,,,,,,,,,,,,,,,,,,175,,175,
Daawat Restaurant Bar & Pub,Koramangala 7th Block,Bar,190,,230,,190,190,,230,,,,,230,,230,,,,,,190,190,,230,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,190,,190,
